cycle,true_fault_class,true_fault_name,true_RUL,cht_1_c,cht_1_twin,oil_temp_c,oil_temp_twin,vibration_rms_g,predicted_fault_class,predicted_fault_name,fault_confidence,predicted_RUL,mission_reliability_pct
277,3,cooling_airflow_blockage,64,74.9,58.3,90.5,83.1,0.113,3,cooling_airflow_blockage,0.997,73.9,59.1
278,3,cooling_airflow_blockage,63,74.6,57.2,90.5,82.8,0.081,3,cooling_airflow_blockage,1.0,73.3,58.6
279,3,cooling_airflow_blockage,62,74.5,57.2,89.4,82.8,0.097,3,cooling_airflow_blockage,1.0,79.8,63.8
280,3,cooling_airflow_blockage,61,71.5,57.0,90.8,82.8,0.101,3,cooling_airflow_blockage,1.0,66.9,53.5
281,3,cooling_airflow_blockage,60,73.8,56.8,92.2,82.8,0.086,3,cooling_airflow_blockage,1.0,65.9,52.7
282,3,cooling_airflow_blockage,59,74.9,57.0,90.2,82.8,0.093,3,cooling_airflow_blockage,1.0,66.6,53.3
283,3,cooling_airflow_blockage,58,73.5,57.6,90.5,82.9,0.101,3,cooling_airflow_blockage,1.0,68.1,54.5
284,3,cooling_airflow_blockage,57,75.4,57.1,90.4,82.8,0.122,3,cooling_airflow_blockage,1.0,68.6,54.9
285,3,cooling_airflow_blockage,56,76.8,57.1,92.1,82.8,0.111,3,cooling_airflow_blockage,0.999,66.5,53.2
286,3,cooling_airflow_blockage,55,78.5,57.0,90.9,82.8,0.089,3,cooling_airflow_blockage,1.0,66.8,53.4
287,3,cooling_airflow_blockage,54,76.1,57.5,91.5,82.9,0.088,3,cooling_airflow_blockage,1.0,67.7,54.2
288,3,cooling_airflow_blockage,53,78.0,57.5,92.2,82.9,0.097,3,cooling_airflow_blockage,1.0,62.2,49.8
289,3,cooling_airflow_blockage,52,77.8,56.3,91.8,82.6,0.086,3,cooling_airflow_blockage,1.0,64.1,51.3
290,3,cooling_airflow_blockage,51,80.9,56.9,91.0,82.8,0.101,3,cooling_airflow_blockage,0.941,61.6,49.3
291,3,cooling_airflow_blockage,50,79.6,57.2,93.2,82.8,0.084,3,cooling_airflow_blockage,1.0,58.0,46.4
292,3,cooling_airflow_blockage,49,81.4,57.5,93.2,82.9,0.114,3,cooling_airflow_blockage,1.0,56.7,45.4
293,3,cooling_airflow_blockage,48,80.6,57.3,91.8,82.8,0.098,3,cooling_airflow_blockage,1.0,56.0,44.8
294,3,cooling_airflow_blockage,47,80.9,57.6,92.7,82.9,0.092,3,cooling_airflow_blockage,1.0,57.8,46.2
295,3,cooling_airflow_blockage,46,79.9,56.4,93.2,82.6,0.121,3,cooling_airflow_blockage,1.0,52.9,42.3
296,3,cooling_airflow_blockage,45,81.4,57.4,93.4,82.9,0.084,3,cooling_airflow_blockage,0.999,57.8,46.2
297,3,cooling_airflow_blockage,44,83.6,58.3,92.8,83.0,0.08,3,cooling_airflow_blockage,1.0,55.0,44.0
298,3,cooling_airflow_blockage,43,82.6,57.1,94.0,82.8,0.084,3,cooling_airflow_blockage,1.0,51.5,41.2
299,3,cooling_airflow_blockage,42,82.3,57.1,93.7,82.8,0.09,3,cooling_airflow_blockage,1.0,49.1,39.3
300,3,cooling_airflow_blockage,41,85.7,57.4,94.2,82.8,0.083,3,cooling_airflow_blockage,1.0,48.3,38.6
301,3,cooling_airflow_blockage,40,82.8,56.7,95.6,82.7,0.086,3,cooling_airflow_blockage,1.0,47.4,37.9
302,3,cooling_airflow_blockage,39,82.5,56.5,93.1,82.7,0.114,3,cooling_airflow_blockage,1.0,51.8,41.4
303,3,cooling_airflow_blockage,38,84.0,57.0,95.7,82.8,0.086,3,cooling_airflow_blockage,0.998,50.4,40.3
304,3,cooling_airflow_blockage,37,82.8,56.1,95.5,82.6,0.134,3,cooling_airflow_blockage,0.993,50.8,40.6
305,3,cooling_airflow_blockage,36,84.2,57.2,96.7,82.8,0.083,3,cooling_airflow_blockage,1.0,40.7,32.6
306,3,cooling_airflow_blockage,35,86.5,57.3,96.5,82.8,0.092,3,cooling_airflow_blockage,1.0,42.7,34.2
307,3,cooling_airflow_blockage,34,84.2,56.0,95.2,82.6,0.113,3,cooling_airflow_blockage,0.991,38.7,31.0
308,3,cooling_airflow_blockage,33,87.7,57.0,97.1,82.8,0.089,3,cooling_airflow_blockage,1.0,39.8,31.8
309,3,cooling_airflow_blockage,32,88.2,56.8,95.7,82.7,0.096,3,cooling_airflow_blockage,1.0,36.8,29.4
310,3,cooling_airflow_blockage,31,90.1,57.7,96.0,82.9,0.084,3,cooling_airflow_blockage,1.0,37.5,30.0
311,3,cooling_airflow_blockage,30,87.6,57.6,96.9,82.9,0.084,3,cooling_airflow_blockage,0.994,35.7,28.6
312,3,cooling_airflow_blockage,29,88.5,57.3,98.0,82.8,0.09,3,cooling_airflow_blockage,1.0,33.9,27.1
313,3,cooling_airflow_blockage,28,91.4,57.5,97.1,82.9,0.088,3,cooling_airflow_blockage,1.0,34.4,27.5
314,3,cooling_airflow_blockage,27,89.8,56.6,97.4,82.7,0.094,3,cooling_airflow_blockage,1.0,31.5,25.2
315,3,cooling_airflow_blockage,26,89.1,57.0,98.6,82.7,0.088,3,cooling_airflow_blockage,1.0,26.2,21.0
316,3,cooling_airflow_blockage,25,89.6,56.7,97.8,82.7,0.106,3,cooling_airflow_blockage,1.0,29.6,23.7
317,3,cooling_airflow_blockage,24,90.2,56.2,96.9,82.6,0.093,3,cooling_airflow_blockage,1.0,31.6,25.3
318,3,cooling_airflow_blockage,23,89.3,56.8,97.6,82.7,0.103,3,cooling_airflow_blockage,1.0,26.9,21.5
319,3,cooling_airflow_blockage,22,91.9,56.7,98.8,82.7,0.087,3,cooling_airflow_blockage,1.0,27.3,21.8
320,3,cooling_airflow_blockage,21,90.7,56.6,98.1,82.7,0.09,3,cooling_airflow_blockage,1.0,29.0,23.2
321,3,cooling_airflow_blockage,20,90.8,56.7,98.2,82.7,0.083,3,cooling_airflow_blockage,1.0,25.7,20.6
322,3,cooling_airflow_blockage,19,92.6,56.8,100.0,82.7,0.095,3,cooling_airflow_blockage,1.0,23.5,18.8
323,3,cooling_airflow_blockage,18,96.4,57.2,100.1,82.8,0.083,3,cooling_airflow_blockage,0.998,19.3,15.4
324,3,cooling_airflow_blockage,17,94.7,56.4,98.6,82.6,0.101,3,cooling_airflow_blockage,1.0,20.5,16.4
325,3,cooling_airflow_blockage,16,94.8,56.0,100.8,82.5,0.097,3,cooling_airflow_blockage,1.0,19.5,15.6
326,3,cooling_airflow_blockage,15,96.8,57.1,99.9,82.7,0.081,3,cooling_airflow_blockage,0.994,17.4,13.9
327,3,cooling_airflow_blockage,14,96.3,57.2,99.4,82.8,0.12,3,cooling_airflow_blockage,0.996,16.2,13.0
328,3,cooling_airflow_blockage,13,96.0,56.9,99.2,82.7,0.087,3,cooling_airflow_blockage,0.998,17.6,14.1
329,3,cooling_airflow_blockage,12,95.6,56.0,100.3,82.5,0.118,3,cooling_airflow_blockage,1.0,15.4,12.3
330,3,cooling_airflow_blockage,11,96.1,56.6,100.1,82.6,0.107,3,cooling_airflow_blockage,0.999,14.1,11.3
331,3,cooling_airflow_blockage,10,96.7,56.8,101.5,82.7,0.122,3,cooling_airflow_blockage,0.959,15.7,12.6
332,3,cooling_airflow_blockage,9,97.6,56.1,102.9,82.5,0.107,3,cooling_airflow_blockage,1.0,13.0,10.4
333,3,cooling_airflow_blockage,8,96.3,56.2,99.8,82.5,0.086,3,cooling_airflow_blockage,1.0,11.5,9.2
334,3,cooling_airflow_blockage,7,98.8,56.6,100.6,82.6,0.098,3,cooling_airflow_blockage,1.0,10.6,8.5
335,3,cooling_airflow_blockage,6,99.5,57.3,102.7,82.8,0.141,3,cooling_airflow_blockage,0.931,7.4,5.9
336,3,cooling_airflow_blockage,5,101.6,56.8,100.4,82.7,0.086,3,cooling_airflow_blockage,0.997,3.7,3.0
337,3,cooling_airflow_blockage,4,98.7,56.3,100.8,82.6,0.09,3,cooling_airflow_blockage,0.999,4.5,3.6
338,3,cooling_airflow_blockage,3,100.2,56.5,100.8,82.6,0.094,3,cooling_airflow_blockage,0.999,4.2,3.4
339,3,cooling_airflow_blockage,2,100.5,56.3,100.5,82.5,0.104,3,cooling_airflow_blockage,1.0,6.1,4.9
340,3,cooling_airflow_blockage,1,102.0,56.4,101.7,82.6,0.084,3,cooling_airflow_blockage,1.0,5.6,4.5
341,3,cooling_airflow_blockage,0,101.3,57.1,102.4,82.7,0.094,3,cooling_airflow_blockage,1.0,5.9,4.7
